"6hxCLo1NKmkjGQ1KWekm14",1,"Preguntas (feat. D Smoke)","Swifty Blue","Preguntas (feat. D Smoke)","spotify:track:6hxCLo1NKmkjGQ1KWekm14"
"5hUCN3pO676HUc2578j8XA",1,"McQueen","Eipi","McQueen","spotify:track:5hUCN3pO676HUc2578j8XA"
"5ycXc9iWHru13BcCJ5fmuR",1,"RICO","Jevo Gold","RICO","spotify:track:5ycXc9iWHru13BcCJ5fmuR"
"4nxIsvvEylzgcgUV7k63mL",1,"No Me Dejo Ver","Bamby","No Me Dejo Ver","spotify:track:4nxIsvvEylzgcgUV7k63mL"
"4e4t1qNN47CzmCxFffzs4U",12,"AGUA","Daddy Yankee","LEGENDADDY","spotify:track:4e4t1qNN47CzmCxFffzs4U"
"4bZe10GGfnMktu6OZlgnub",1,"El Fucking MVP","Ovi","El Fucking MVP","spotify:track:4bZe10GGfnMktu6OZlgnub"
"2mOcsTpKrEFmpFgMIYlGcc",1,"Dormitorio","Josephlee","Dormitorio","spotify:track:2mOcsTpKrEFmpFgMIYlGcc"
"7B2Ys0dtRpVrGd3fliBGsu",1,"Somos O No Somos","Omy de Oro","Somos O No Somos","spotify:track:7B2Ys0dtRpVrGd3fliBGsu"
"3nYidPkFJrmIAhi5Bwobs8",1,"Ya Ni Se","Ovi","Ya Ni Se","spotify:track:3nYidPkFJrmIAhi5Bwobs8"
"1QnfogT4dMmH37TZvxP2ao",1,"Triple H","Marconi Impara","They Love Us","spotify:track:1QnfogT4dMmH37TZvxP2ao"
"1LazPnyXBsbn7Ycqh9G5ls",1,"Brillo","Jay Maly","Brillo","spotify:track:1LazPnyXBsbn7Ycqh9G5ls"
"3ngemaN0E275eFYjHdrmw0",1,"Rolex","Hozwal","Rolex","spotify:track:3ngemaN0E275eFYjHdrmw0"
"3f1vBYh2O5mzqic50Web9f",1,"Breguen Con Esa","Sold Out Entertainment","Breguen Con Esa","spotify:track:3f1vBYh2O5mzqic50Web9f"
"7yvLcMT1Biy10DU99GTX8k",1,"De 3 A 3","Chucky73","De 3 A 3","spotify:track:7yvLcMT1Biy10DU99GTX8k"
"4ucMC9jo6CJkwBfkHPZHSi",1,"Yakelin","Marconi Impara","Yakelin","spotify:track:4ucMC9jo6CJkwBfkHPZHSi"
"2BsAjEvuw3PBoRr1T83hdH",1,"Asesino (feat. Puri)","Elpatron970","Asesino (feat. Puri)","spotify:track:2BsAjEvuw3PBoRr1T83hdH"
"661D7qCBSws0RjkcM2saI1",1,"Te Aseguro","Yecko","Te Aseguro","spotify:track:661D7qCBSws0RjkcM2saI1"
